sequenceID	num_ns	longest_n_run	num_bivalent_ambigs	num_trivalent_ambigs	num_hyphens	num_whitespace	num_other	uncorrected_illegals
EPI_ISL_408482	12	0	0	0	0	0	0	false
EPI_ISL_408483	322	31	0	0	0	0	0	false
EPI_ISL_408484	15	0	0	0	0	0	0	false
EPI_ISL_408485	6	6	0	0	0	0	0	false
EPI_ISL_408486	15	0	0	0	0	0	0	false
EPI_ISL_408487	693	73	0	0	0	0	0	false
EPI_ISL_408488	75	17	0	0	0	0	0	false
EPI_ISL_408489	0	0	1	0	0	0	0	false
EPI_ISL_408511	0	0	7	0	0	0	0	false
EPI_ISL_408512	0	0	15	0	0	0	0	false
EPI_ISL_408513	0	0	1	0	0	0	0	false
EPI_ISL_408514	0	0	0	0	0	0	0	false
EPI_ISL_408515	0	0	0	0	0	0	0	false
EPI_ISL_408665	0	0	0	0	0	0	0	false
EPI_ISL_408666	0	0	0	0	0	0	0	false
EPI_ISL_408667	0	0	0	0	0	0	0	false
EPI_ISL_408668	0	0	0	0	0	0	0	false
EPI_ISL_408669	0	0	0	0	0	0	0	false
EPI_ISL_408670	0	0	0	0	0	0	0	false
EPI_ISL_408975	0	0	0	0	0	0	0	false
EPI_ISL_408976	0	0	0	0	0	0	0	false
EPI_ISL_408977	0	0	0	0	0	0	0	false
EPI_ISL_408978	1652	79	0	0	0	0	0	false
EPI_ISL_408994	0	0	0	0	0	0	0	false
EPI_ISL_408995	0	0	0	0	0	0	0	false
EPI_ISL_408996	0	0	0	0	0	0	0	false
EPI_ISL_408997	0	0	0	0	0	0	0	false
EPI_ISL_408998	0	0	0	0	0	0	0	false
EPI_ISL_408999	0	0	0	0	0	0	0	false
EPI_ISL_409000	0	0	0	0	0	0	0	false
EPI_ISL_409001	0	0	0	0	0	0	0	false
EPI_ISL_409002	0	0	0	0	0	0	0	false
EPI_ISL_409020	0	0	0	0	0	0	0	false
EPI_ISL_409022	0	0	0	0	0	0	0	false
EPI_ISL_409023	0	0	0	0	0	0	0	false
EPI_ISL_409024	0	0	0	0	0	0	0	false
EPI_ISL_409025	0	0	0	0	0	0	0	false
EPI_ISL_409026	0	0	0	0	0	0	0	false
EPI_ISL_409027	0	0	0	0	0	0	0	false
EPI_ISL_409067	0	0	1	0	0	0	0	false
EPI_ISL_410044	0	0	0	0	0	0	0	false
EPI_ISL_410045	0	0	0	0	0	0	0	false
EPI_ISL_410218	0	0	0	0	0	0	0	false
EPI_ISL_410301	0	0	0	0	0	0	0	false
EPI_ISL_410302	0	0	0	0	0	0	0	false
EPI_ISL_410314	0	0	0	0	0	0	0	false
EPI_ISL_410344	0	0	0	0	0	0	0	false
EPI_ISL_410345	0	0	0	0	0	0	0	false
EPI_ISL_410486	122	12	0	0	0	0	0	false
EPI_ISL_410487	0	0	0	0	0	0	0	false
EPI_ISL_410488	0	0	0	0	0	0	0	false
EPI_ISL_410489	0	0	0	0	0	0	0	false
EPI_ISL_410531	0	0	0	0	0	0	0	false
EPI_ISL_410532	0	0	0	0	0	0	0	false
EPI_ISL_410535	0	0	0	0	0	0	0	false
EPI_ISL_410536	0	0	0	0	0	0	0	false
EPI_ISL_410537	0	0	0	0	0	0	0	false
EPI_ISL_410538	1	1	0	0	0	0	0	false
EPI_ISL_410539	0	0	0	0	0	0	0	false
EPI_ISL_410540	0	0	0	0	0	0	0	false
EPI_ISL_410541	4	4	0	0	0	0	0	false
EPI_ISL_410542	10	1	0	0	0	0	0	false
EPI_ISL_410543	2441	77	0	0	0	0	0	false
EPI_ISL_410544	8264	78	27	0	0	0	0	false
EPI_ISL_410545	1	1	0	0	0	0	0	false
EPI_ISL_410546	0	0	0	0	0	0	0	false
EPI_ISL_410713	0	0	0	0	0	0	0	false
EPI_ISL_410714	0	0	0	0	0	0	0	false
EPI_ISL_410715	0	0	0	0	0	0	0	false
EPI_ISL_410716	0	0	0	0	0	0	0	false
EPI_ISL_410717	0	0	0	0	0	0	0	false
EPI_ISL_410718	0	0	0	0	0	0	0	false
EPI_ISL_410719	0	0	0	0	0	0	0	false
EPI_ISL_410720	0	0	0	0	0	0	0	false
EPI_ISL_410721	0	0	0	0	0	0	0	false
EPI_ISL_410984	32	32	0	0	0	0	0	false
EPI_ISL_411060	0	0	0	0	0	0	0	false
EPI_ISL_411066	0	0	0	0	0	0	0	false
EPI_ISL_411218	0	0	0	0	0	0	0	false
EPI_ISL_411219	0	0	0	0	0	0	0	false
EPI_ISL_411220	0	0	0	0	0	0	0	false
EPI_ISL_411902	0	0	0	0	0	0	0	false
EPI_ISL_411915	0	0	0	0	0	0	0	false
EPI_ISL_411926	0	0	0	0	0	0	0	false
EPI_ISL_411927	0	0	0	0	0	0	0	false
EPI_ISL_411929	0	0	0	0	0	0	0	false
EPI_ISL_411949	0	0	0	0	0	0	0	false
EPI_ISL_411950	0	0	0	0	0	0	0	false
EPI_ISL_411951	0	0	0	0	0	0	0	false
EPI_ISL_411952	0	0	0	0	0	0	0	false
EPI_ISL_411953	0	0	0	0	0	0	0	false
EPI_ISL_411954	0	0	0	0	0	0	0	false
EPI_ISL_411955	0	0	0	0	0	0	0	false
EPI_ISL_411956	0	0	0	0	0	0	0	false
EPI_ISL_411957	0	0	0	0	0	0	0	false
EPI_ISL_411958	0	0	0	0	0	0	0	false
EPI_ISL_411959	0	0	0	0	0	0	0	false
EPI_ISL_411960	0	0	0	0	0	0	0	false
EPI_ISL_411961	0	0	0	0	0	0	0	false
EPI_ISL_411962	0	0	0	0	0	0	0	false
EPI_ISL_411963	0	0	0	0	0	0	0	false
EPI_ISL_411964	0	0	0	0	0	0	0	false
EPI_ISL_411965	0	0	0	0	0	0	0	false
EPI_ISL_411966	0	0	0	0	0	0	0	false
EPI_ISL_411967	0	0	0	0	0	0	0	false
EPI_ISL_412026	0	0	0	0	0	0	0	false
EPI_ISL_412028	0	0	1	0	0	0	0	false
EPI_ISL_412029	0	0	0	0	0	0	0	false
EPI_ISL_412030	0	0	0	0	0	0	0	false
EPI_ISL_412034	0	0	0	0	0	0	0	false
EPI_ISL_412035	0	0	0	0	0	0	0	false
EPI_ISL_412036	0	0	0	0	0	0	0	false
EPI_ISL_412037	0	0	0	0	0	0	0	false
EPI_ISL_412038	0	0	0	0	0	0	0	false
EPI_ISL_412039	0	0	0	0	0	0	0	false
EPI_ISL_412041	0	0	0	0	0	0	0	false
EPI_ISL_412042	0	0	0	0	0	0	0	false
EPI_ISL_412043	0	0	0	0	0	0	0	false
EPI_ISL_412044	0	0	0	0	0	0	0	false
EPI_ISL_412045	0	0	0	0	0	0	0	false
EPI_ISL_412046	0	0	0	0	0	0	0	false
EPI_ISL_412049	0	0	0	0	0	0	0	false
EPI_ISL_412050	0	0	0	0	0	0	0	false
EPI_ISL_412051	0	0	0	0	0	0	0	false
EPI_ISL_412052	0	0	0	0	0	0	0	false
EPI_ISL_412053	0	0	0	0	0	0	0	false
EPI_ISL_412054	0	0	0	0	0	0	0	false
EPI_ISL_412116	62	35	0	0	0	0	0	false
EPI_ISL_412387	0	0	0	0	0	0	0	false
EPI_ISL_412418	0	0	0	0	0	0	0	false
EPI_ISL_412419	0	0	0	0	0	0	0	false
EPI_ISL_412420	0	0	0	0	0	0	0	false
EPI_ISL_412421	0	0	0	0	0	0	0	false
EPI_ISL_412422	0	0	0	0	0	0	0	false
EPI_ISL_412423	0	0	0	0	0	0	0	false
EPI_ISL_412424	0	0	0	0	0	0	0	false
EPI_ISL_412425	0	0	0	0	0	0	0	false
EPI_ISL_412426	0	0	0	0	0	0	0	false
EPI_ISL_412459	0	0	0	0	0	0	0	false
EPI_ISL_412860	1872	75	0	0	0	0	0	false
EPI_ISL_412862	0	0	0	0	0	0	0	false
EPI_ISL_412869	0	0	0	0	0	0	0	false
EPI_ISL_412870	0	0	0	0	0	0	0	false
EPI_ISL_412871	0	0	0	0	0	0	0	false
EPI_ISL_412872	0	0	0	0	0	0	0	false
EPI_ISL_412873	0	0	0	0	0	0	0	false
EPI_ISL_412898	0	0	0	0	0	0	0	false
EPI_ISL_412899	0	0	0	0	0	0	0	false
EPI_ISL_412900	0	0	0	0	0	0	0	false
EPI_ISL_412912	0	0	0	0	0	0	0	false
EPI_ISL_412964	0	0	0	0	0	0	0	false
EPI_ISL_412965	391	4	0	0	0	0	0	false
EPI_ISL_412966	0	0	0	0	0	0	0	false
EPI_ISL_412967	0	0	0	0	0	0	0	false
EPI_ISL_412968	0	0	0	0	0	0	0	false
EPI_ISL_412969	0	0	0	0	0	0	0	false
EPI_ISL_412970	53	33	0	0	0	0	0	false
EPI_ISL_412971	433	62	0	0	0	0	0	false
EPI_ISL_412972	0	0	0	0	0	0	0	false
EPI_ISL_412973	2	2	0	0	0	0	0	false
EPI_ISL_412974	0	0	0	0	0	0	0	false
EPI_ISL_412975	0	0	0	0	0	0	0	false
EPI_ISL_412976	5364	50	61	0	0	0	0	false
EPI_ISL_412977	0	0	0	0	0	0	0	false
EPI_ISL_412978	0	0	0	0	0	0	0	false
EPI_ISL_412979	0	0	0	0	0	0	0	false
EPI_ISL_412980	0	0	0	0	0	0	0	false
EPI_ISL_412981	0	0	1	0	0	0	0	false
EPI_ISL_412982	0	0	0	0	0	0	0	false
EPI_ISL_412983	0	0	1	0	0	0	0	false
EPI_ISL_413014	0	0	0	0	0	0	0	false
EPI_ISL_413015	0	0	0	0	0	0	0	false
EPI_ISL_413016	121	4	0	0	0	0	0	false
EPI_ISL_413017	21	0	0	0	0	0	0	false
EPI_ISL_413018	0	0	0	0	0	0	0	false
EPI_ISL_413019	0	0	0	0	0	0	0	false
EPI_ISL_413020	8	8	0	0	0	0	0	false
EPI_ISL_413021	0	0	1	0	0	0	0	false
EPI_ISL_413022	0	0	0	0	0	0	0	false
EPI_ISL_413023	0	0	0	0	0	0	0	false
EPI_ISL_413024	0	0	2	0	0	0	0	false
EPI_ISL_413025	0	0	0	0	0	0	0	false
EPI_ISL_413213	0	0	0	0	0	0	0	false
EPI_ISL_413214	0	0	0	0	0	0	0	false
EPI_ISL_413219	0	0	0	0	0	0	0	false
EPI_ISL_413221	389	4	0	0	0	0	0	false
EPI_ISL_413455	0	0	0	0	0	0	0	false
EPI_ISL_413456	46	33	0	0	0	0	0	false
EPI_ISL_413457	0	0	1	0	0	0	0	false
EPI_ISL_413458	0	0	0	0	0	0	0	false
EPI_ISL_413459	0	0	0	0	0	0	0	false
EPI_ISL_413485	0	0	0	0	0	0	0	false
EPI_ISL_413486	0	0	0	0	0	0	0	false
EPI_ISL_413487	32	8	0	0	0	0	0	false
EPI_ISL_413488	157	18	0	0	0	0	0	false
EPI_ISL_413489	2	2	0	0	0	0	0	false
EPI_ISL_413490	126	4	0	0	0	0	0	false
EPI_ISL_413491	0	0	0	0	0	0	0	false
EPI_ISL_413492	0	0	0	0	0	0	0	false
EPI_ISL_413493	0	0	0	0	0	0	0	false
EPI_ISL_413494	0	0	0	0	0	0	0	false
EPI_ISL_413495	0	0	0	0	0	0	0	false
EPI_ISL_413496	0	0	0	0	0	0	0	false
EPI_ISL_413497	0	0	0	0	0	0	0	false
EPI_ISL_413498	0	0	0	0	0	0	0	false
EPI_ISL_413513	0	0	0	0	0	0	0	false
EPI_ISL_413514	0	0	0	0	0	0	0	false
EPI_ISL_413515	2	0	0	0	0	0	0	false
EPI_ISL_413516	0	0	0	0	0	0	0	false
EPI_ISL_413517	0	0	0	0	0	0	0	false
EPI_ISL_413518	0	0	0	0	0	0	0	false
EPI_ISL_413519	0	0	0	0	0	0	0	false
EPI_ISL_413520	0	0	0	0	0	0	0	false
EPI_ISL_413521	0	0	0	0	0	0	0	false
EPI_ISL_413522	0	0	0	0	0	0	0	false
EPI_ISL_413523	0	0	0	0	0	0	0	false
EPI_ISL_413550	342	59	0	0	0	0	0	false
EPI_ISL_413553	0	0	0	0	0	0	0	false
EPI_ISL_413554	0	0	0	0	0	0	0	false
EPI_ISL_413555	0	0	0	0	0	0	0	false
EPI_ISL_413556	268	57	0	0	0	0	0	false
EPI_ISL_413557	54	17	0	0	0	0	0	false
EPI_ISL_413558	69	6	0	0	0	0	0	false
EPI_ISL_413559	56	52	0	0	0	0	0	false
EPI_ISL_413560	35	33	0	0	0	0	0	false
EPI_ISL_413561	73	19	0	0	0	0	0	false
EPI_ISL_413562	134	63	0	0	0	0	0	false
EPI_ISL_413563	0	0	0	0	0	0	0	false
EPI_ISL_413564	201	42	0	0	0	0	0	false
EPI_ISL_413565	586	46	0	0	0	0	0	false
EPI_ISL_413566	0	0	0	0	0	0	0	false
EPI_ISL_413567	449	42	0	0	0	0	0	false
EPI_ISL_413568	201	42	0	0	0	0	0	false
EPI_ISL_413569	440	74	0	0	0	0	0	false
EPI_ISL_413570	440	74	0	0	0	0	0	false
EPI_ISL_413571	201	39	0	0	0	0	0	false
EPI_ISL_413572	0	0	0	0	0	0	0	false
EPI_ISL_413573	0	0	0	0	0	0	0	false
EPI_ISL_413574	201	39	0	0	0	0	0	false
EPI_ISL_413575	440	74	0	0	0	0	0	false
EPI_ISL_413576	449	42	0	0	0	0	0	false
EPI_ISL_413577	0	0	0	0	0	0	0	false
EPI_ISL_413578	743	77	0	0	0	0	0	false
EPI_ISL_413579	0	0	0	0	0	0	0	false
EPI_ISL_413580	0	0	0	0	0	0	0	false
EPI_ISL_413581	641	77	0	0	0	0	0	false
EPI_ISL_413582	0	0	0	0	0	0	0	false
EPI_ISL_413583	0	0	0	0	0	0	0	false
EPI_ISL_413584	0	0	0	0	0	0	0	false
EPI_ISL_413585	670	42	0	0	0	0	0	false
EPI_ISL_413586	988	77	0	0	0	0	0	false
EPI_ISL_413587	0	0	0	0	0	0	0	false
EPI_ISL_413588	201	39	0	0	0	0	0	false
EPI_ISL_413589	0	0	0	0	0	0	0	false
EPI_ISL_413590	0	0	0	0	0	0	0	false
EPI_ISL_413591	0	0	0	0	0	0	0	false
EPI_ISL_413592	0	0	2	0	0	0	0	false
EPI_ISL_413593	0	0	0	0	0	0	0	false
EPI_ISL_413594	0	0	0	0	0	0	0	false
EPI_ISL_413595	0	0	0	0	0	0	0	false
EPI_ISL_413596	0	0	1	0	0	0	0	false
EPI_ISL_413597	0	0	0	0	0	0	0	false
EPI_ISL_413598	0	0	0	0	0	0	0	false
EPI_ISL_413599	0	0	1	0	0	0	0	false
EPI_ISL_413600	0	0	0	0	0	0	0	false
EPI_ISL_413601	234	41	0	0	0	0	0	false
EPI_ISL_413602	0	0	0	0	0	0	0	false
EPI_ISL_413603	0	0	0	0	0	0	0	false
EPI_ISL_413604	30	0	0	0	0	0	0	false
EPI_ISL_413605	387	34	0	0	0	0	0	false
EPI_ISL_413606	0	0	0	0	0	0	0	false
EPI_ISL_413607	0	0	0	0	0	0	0	false
EPI_ISL_413608	0	0	0	0	0	0	0	false
EPI_ISL_413609	0	0	0	0	0	0	0	false
EPI_ISL_413610	0	0	0	0	0	0	0	false
EPI_ISL_413611	0	0	0	0	0	0	0	false
EPI_ISL_413612	0	0	0	0	0	0	0	false
EPI_ISL_413613	0	0	0	0	0	0	0	false
EPI_ISL_413614	0	0	0	0	0	0	0	false
EPI_ISL_413615	0	0	0	0	0	0	0	false
EPI_ISL_413616	0	0	0	0	0	0	0	false
EPI_ISL_413617	0	0	0	0	0	0	0	false
EPI_ISL_413618	0	0	0	0	0	0	0	false
EPI_ISL_413619	0	0	0	0	0	0	0	false
EPI_ISL_413620	0	0	0	0	0	0	0	false
EPI_ISL_413621	0	0	0	0	0	0	0	false
EPI_ISL_413622	0	0	0	0	0	0	0	false
EPI_ISL_413623	0	0	0	0	0	0	0	false
EPI_ISL_413647	18	18	0	0	0	0	0	false
EPI_ISL_413648	66	54	0	0	0	0	0	false
EPI_ISL_413649	61	11	0	0	0	0	0	false
EPI_ISL_413650	0	0	0	0	0	0	0	false
EPI_ISL_413651	0	0	0	0	0	0	0	false
EPI_ISL_413652	106	19	0	0	0	0	0	false
EPI_ISL_413653	0	0	0	0	0	0	0	false
EPI_ISL_413691	0	0	0	0	0	0	0	false
EPI_ISL_413692	0	0	0	0	0	0	0	false
EPI_ISL_413693	0	0	0	0	0	0	0	false
EPI_ISL_413694	0	0	0	0	0	0	0	false
EPI_ISL_413695	0	0	0	0	0	0	0	false
EPI_ISL_413696	0	0	0	0	0	0	0	false
EPI_ISL_413697	0	0	0	0	0	0	0	false
EPI_ISL_413711	0	0	0	0	0	0	0	false
EPI_ISL_413729	0	0	0	0	0	0	0	false
EPI_ISL_413746	0	0	0	0	0	0	0	false
EPI_ISL_413747	0	0	0	0	0	0	0	false
EPI_ISL_413748	0	0	0	0	0	0	0	false
EPI_ISL_413749	0	0	0	0	0	0	0	false
EPI_ISL_413750	0	0	0	0	0	0	0	false
EPI_ISL_413751	0	0	0	0	0	0	0	false
EPI_ISL_413752	0	0	0	0	0	0	0	false
EPI_ISL_413753	0	0	0	0	0	0	0	false
EPI_ISL_413761	0	0	0	0	0	0	0	false
EPI_ISL_413791	0	0	0	0	0	0	0	false
EPI_ISL_413809	0	0	0	0	0	0	0	false
EPI_ISL_413850	1429	72	3	0	0	0	0	false
EPI_ISL_413851	216	41	1	0	0	0	0	false
EPI_ISL_413852	126	40	2	0	0	0	0	false
EPI_ISL_413853	47	25	0	0	0	0	0	false
EPI_ISL_413854	60	36	0	0	0	0	0	false
EPI_ISL_413855	193	38	2	0	0	0	0	false
EPI_ISL_413856	140	57	0	0	0	0	0	false
EPI_ISL_413857	58	34	0	0	0	0	0	false
EPI_ISL_413858	59	34	0	0	0	0	0	false
EPI_ISL_413859	1124	59	0	0	0	0	0	false
EPI_ISL_413860	60	31	0	0	0	0	0	false
EPI_ISL_413861	71	46	0	0	0	0	0	false
EPI_ISL_413862	51	15	0	0	0	0	0	false
EPI_ISL_413863	27	4	0	0	0	0	0	false
EPI_ISL_413864	133	35	0	0	0	0	0	false
EPI_ISL_413865	6098	78	2	0	0	0	0	false
EPI_ISL_413866	354	50	1	0	0	0	0	false
EPI_ISL_413867	168	38	2	0	0	0	0	false
EPI_ISL_413868	2762	72	0	0	0	0	0	false
EPI_ISL_413869	958	64	0	0	0	0	0	false
EPI_ISL_413870	1819	72	0	0	0	0	0	false
EPI_ISL_413871	2988	72	0	0	0	0	0	false
EPI_ISL_413872	1227	18	0	0	0	0	0	false
EPI_ISL_413873	2204	72	0	0	0	0	0	false
EPI_ISL_413874	1195	54	0	0	0	0	0	false
EPI_ISL_413875	400	4	0	0	0	0	0	false
EPI_ISL_413876	5315	75	0	0	0	0	0	false
EPI_ISL_413877	5773	75	0	0	0	0	0	false
EPI_ISL_413878	4400	73	0	0	0	0	0	false
EPI_ISL_413879	3792	72	0	0	0	0	0	false
EPI_ISL_413880	4898	73	0	0	0	0	0	false
EPI_ISL_413881	4910	73	0	0	0	0	0	false
EPI_ISL_413882	676	72	0	0	0	0	0	false
EPI_ISL_413883	2566	73	0	0	0	0	0	false
EPI_ISL_413884	394	6	0	0	0	0	0	false
EPI_ISL_413885	10939	78	0	0	0	0	0	false
EPI_ISL_413886	9694	78	0	0	0	0	0	false
EPI_ISL_413887	13982	78	0	0	0	0	0	false
EPI_ISL_413888	664	6	0	0	0	0	0	false
EPI_ISL_413889	932	18	0	0	0	0	0	false
EPI_ISL_413890	7503	75	0	0	0	0	0	false
EPI_ISL_413891	7226	75	0	0	0	0	0	false
EPI_ISL_413892	4818	75	0	0	0	0	0	false
EPI_ISL_413893	3395	72	0	0	0	0	0	false
EPI_ISL_413894	4796	75	0	0	0	0	0	false
EPI_ISL_413895	7631	75	0	0	0	0	0	false
EPI_ISL_413896	3879	72	0	0	0	0	0	false
EPI_ISL_413897	3765	75	0	0	0	0	0	false
EPI_ISL_413898	3694	72	0	0	0	0	0	false
EPI_ISL_413899	6857	79	0	0	0	0	0	false
EPI_ISL_413900	4631	75	0	0	0	0	0	false
EPI_ISL_413901	7571	76	0	0	0	0	0	false
EPI_ISL_413902	3494	72	0	0	0	0	0	false
EPI_ISL_413904	0	0	0	0	0	0	0	false
EPI_ISL_413905	0	0	0	0	0	0	0	false
EPI_ISL_413906	0	0	0	0	0	0	0	false
EPI_ISL_413922	784	61	0	0	0	0	0	false
EPI_ISL_413924	241	60	0	0	0	0	0	false
EPI_ISL_413925	95	22	0	0	0	0	0	false
EPI_ISL_413926	934	63	0	0	0	0	0	false
EPI_ISL_413928	19	18	0	0	0	0	0	false
EPI_ISL_413930	4477	73	0	0	0	0	0	false
EPI_ISL_413931	34	32	0	0	0	0	0	false
EPI_ISL_413949	0	0	0	0	0	0	0	false
EPI_ISL_413955	0	0	0	0	0	0	0	false
EPI_ISL_413996	0	0	0	0	0	0	0	false
EPI_ISL_413997	2	1	0	0	0	0	0	false
EPI_ISL_413999	0	0	0	0	0	0	0	false
EPI_ISL_414005	44	27	1	0	0	0	0	false
EPI_ISL_414006	33	26	0	0	0	0	0	false
EPI_ISL_414007	66	60	0	0	0	0	0	false
EPI_ISL_414008	66	60	1	0	0	0	0	false
EPI_ISL_414009	66	60	0	0	0	0	0	false
EPI_ISL_414010	83	23	7	0	0	0	0	false
EPI_ISL_414011	67	60	0	0	0	0	0	false
EPI_ISL_414012	65	60	0	0	0	0	0	false
EPI_ISL_414013	145	60	0	0	0	0	0	false
EPI_ISL_414014	0	0	0	0	0	0	0	false
EPI_ISL_414015	0	0	0	0	0	0	0	false
EPI_ISL_414016	0	0	0	0	0	0	0	false
EPI_ISL_414017	0	0	0	0	0	0	0	false
EPI_ISL_414019	0	0	0	0	0	0	0	false
EPI_ISL_414020	0	0	0	0	0	0	0	false
EPI_ISL_414021	0	0	0	0	0	0	0	false
EPI_ISL_414022	0	0	0	0	0	0	0	false
EPI_ISL_414023	0	0	0	0	0	0	0	false
EPI_ISL_414024	678	64	0	0	0	0	0	false
EPI_ISL_414025	483	5	0	0	0	0	0	false
EPI_ISL_414026	679	64	0	0	0	0	0	false
EPI_ISL_414027	121	4	0	0	0	0	0	false
EPI_ISL_414040	29	0	2	0	0	0	0	false
EPI_ISL_414041	31	0	1	0	0	0	0	false
EPI_ISL_414042	31	0	1	0	0	0	0	false
EPI_ISL_414043	30	0	1	0	0	0	0	false
EPI_ISL_414044	30	24	2	0	0	0	0	false
EPI_ISL_414045	1	1	0	0	0	0	0	false
EPI_ISL_414363	0	0	0	0	0	0	0	false
EPI_ISL_414364	77	28	0	0	0	0	0	false
EPI_ISL_414365	27	26	0	0	0	0	0	false
EPI_ISL_414366	0	0	0	0	0	0	0	false
EPI_ISL_414367	44	12	0	0	0	0	0	false
EPI_ISL_414368	1	1	0	0	0	0	0	false
EPI_ISL_414369	43	20	0	1	0	0	0	false
EPI_ISL_414371	0	0	0	0	0	0	0	false
EPI_ISL_414372	0	0	0	0	0	0	0	false
EPI_ISL_414373	0	0	0	0	0	0	0	false
EPI_ISL_414374	0	0	0	0	0	0	0	false
EPI_ISL_414375	0	0	0	0	0	0	0	false
EPI_ISL_414376	0	0	0	0	0	0	0	false
EPI_ISL_414377	0	0	0	0	0	0	0	false
EPI_ISL_414378	0	0	0	0	0	0	0	false
EPI_ISL_414379	0	0	0	0	0	0	0	false
EPI_ISL_414380	0	0	0	0	0	0	0	false
