source.name	sequenceID	length	isolate	host_species	collection_year	collection_month	collection_month_day	submission_year	submission_month	submission_month_day	place_sampled	m49_country.display_name	m49_country.m49_sub_region.display_name	m49_country.m49_region.display_name	gisaid_passage_details	gisaid_status_code	gisaid_status_comment	gisaid_originating_lab	gisaid_submitting_lab	gisaid_authors	analyse_variation	ref_tree_candidate	include_in_ref_tree	cdhit_cluster	is_l_lineage
cov-gisaid	EPI_ISL_402130	29857	Wuhan/WIV07/2019	Human	2019	DEC	30	2020	JAN	18	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi	true	true	false	0	-
cov-gisaid	EPI_ISL_402131	29855	bat/Yunnan/RaTG13/2013	Rhinolophus affinis	2013	JUL	24	2020	JAN	24	Asia / China / Yunnan / Pu'er	China	Eastern Asia	Asia	Original	normal	-	Wuhan Institute of Virology, Chinese Academy of Sciences	Wuhan Institute of Virology, Chinese Academy of Sciences	Yan Zhu, Ping Yu, Bei Li, Ben Hu, Hao-Rui Si, Xing-Lou Yang, Peng Zhou, Zheng-Li Shi	-	false	-	-	-
cov-gisaid	EPI_ISL_402132	29848	Wuhan/HBCDC-HB-01/2019	Human	2019	DEC	30	2020	JAN	19	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang.	true	true	false	0	-
cov-gisaid	EPI_ISL_403928	29883	Wuhan/IPBCAMS-WH-05/2020	Human	2020	JAN	1	2020	JAN	21	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
cov-gisaid	EPI_ISL_403929	29890	Wuhan/IPBCAMS-WH-04/2019	Human	2019	DEC	30	2020	JAN	21	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
cov-gisaid	EPI_ISL_403930	29899	Wuhan/IPBCAMS-WH-03/2019	Human	2019	DEC	30	2020	JAN	21	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
cov-gisaid	EPI_ISL_403931	29889	Wuhan/IPBCAMS-WH-02/2019	Human	2019	DEC	30	2020	JAN	21	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
cov-gisaid	EPI_ISL_403932	29845	Guangdong/20SF012/2020	Human	2020	JAN	14	2020	JAN	22	Asia / China / Guandong / Shenzhen	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_403933	29845	Guangdong/20SF013/2020	Human	2020	JAN	15	2020	JAN	22	Asia / China / Guandong / Shenzhen	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_403934	29845	Guangdong/20SF014/2020	Human	2020	JAN	15	2020	JAN	22	Asia / China / Guandong / Shenzhen	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_403935	29845	Guangdong/20SF025/2020	Human	2020	JAN	15	2020	JAN	22	Asia / China / Guangdong / Shenzhen	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_403936	29845	Guangdong/20SF028/2020	Human	2020	JAN	17	2020	JAN	22	Asia / China / Guangdong / Zhuhai	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_403937	29845	Guangdong/20SF040/2020	Human	2020	JAN	18	2020	JAN	22	Asia / China / Guangdong / Zhuhai	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_403962	29848	Nonthaburi/61/2020	Human	2020	JAN	8	2020	JAN	17	Asia / Thailand / Nonthaburi	Thailand	South-eastern Asia	Asia	Original	normal	-	Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk,Okada; Siripaporn,Phuygun; Thanutsapa,Thanadachakul; Supaporn,Wacharapluesadee; Sittiporn,Parnmen; Warawan,Wongboot; Sunthareeya,Waicharoen; Rome,Buathong; Malinee,Chittaganpitch; Nanthawan,Mekha	true	true	true	0	true
cov-gisaid	EPI_ISL_403963	29859	Nonthaburi/74/2020	Human	2020	JAN	13	2020	JAN	17	Asia / Thailand / Nonthaburi	Thailand	South-eastern Asia	Asia	Original	normal	-	Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk,Okada; Siripaporn,Phuygun; Thanutsapa,Thanadachakul; Supaporn,Wacharapluesadee; Sittiporn,Parnmen; Warawan,Wongboot; Sunthareeya,Waicharoen; Rome,Buathong; Malinee,Chittaganpitch; Nanthawan,Mekha	true	true	false	0	-
cov-gisaid	EPI_ISL_404227	29839	Zhejiang/WZ-01/2020	Human	2020	JAN	16	2020	JAN	21	Asia / China / Zhejiang	China	Eastern Asia	Asia	Original	normal	-	Zhejiang Provincial Center for Disease Control and Prevention	Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention	Yin Chen, Yanjun Zhang, Haiyan Mao, Junhang Pan, Xiuyu Lou, Yiyu Lu, Juying Yan, Hanping Zhu, Jian Gao, Yan Feng, Yi Sun, Hao Yan, Zhen Li, Yisheng Sun, Liming Gong, Qiong Ge, Wen Shi, Xinying Wang, Wenwu Yao, Zhangnv Yang, Fang Xu, Chen Chen, Enfu Chen, Zhen Wang, Zhiping Chen, Jianmin Jiang, Chonggao Hu	true	true	false	0	-
cov-gisaid	EPI_ISL_404228	29859	Zhejiang/WZ-02/2020	Human	2020	JAN	17	2020	JAN	21	Asia / China / Zhejiang	China	Eastern Asia	Asia	Original	normal	-	Zhejiang Provincial Center for Disease Control and Prevention	Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention	Yanjun Zhang, Yin Chen, Haiyan Mao, Junhang Pan, Xiuyu Lou, Yiyu Lu, Juying Yan, Hanping Zhu, Jian Gao, Yan Feng, Yi Sun, Hao Yan, Zhen Li, Yisheng Sun, Liming Gong, Qiong Ge, Wen Shi, Xinying Wang, Wenwu Yao, Zhangnv Yang, Fang Xu, Chen Chen, Enfu Chen, Zhen Wang, Zhiping Chen, Jianmin Jiang, Chonggao Hu	true	true	false	0	-
cov-gisaid	EPI_ISL_404253	29882	USA/IL1/2020	Human	2020	JAN	21	2020	JAN	25	North America / USA / Illinois / Chicago	United States	Northern America	Americas	Original	normal	-	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Krista Queen, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong	true	true	true	0	false
cov-gisaid	EPI_ISL_404895	29882	USA/WA1/2020	Human	2020	JAN	19	2020	JAN	24	North America / USA / Washington / Snohomish County	United States	Northern America	Americas	Original	normal	-	Providence Regional Medical Center	Division of Viral Diseases, Centers for Disease Control and Prevention	Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.	true	true	false	0	-
cov-gisaid	EPI_ISL_405839	29891	Shenzhen/HKU-SZ-005/2020	Human	2020	JAN	11	2020	JAN	24	Asia / China / Guangdong / Shenzhen	China	Eastern Asia	Asia	Original	normal	-	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.	true	true	false	0	-
cov-gisaid	EPI_ISL_406030	29838	Shenzhen/HKU-SZ-002/2020	Human	2020	JAN	10	2020	JAN	24	Asia / China / Guangdong / Shenzhen	China	Eastern Asia	Asia	Original	normal	-	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.	true	true	false	0	-
cov-gisaid	EPI_ISL_406031	29878	Taiwan/2/2020	Human	2020	JAN	23	2020	JAN	27	Asia / Taiwan / Kaohsiung	Taiwan	Eastern Asia	Asia	Original	normal	-	Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang, Yu-Chi Lin, Jung-Jung Mu, Ming-Tsan Liu, Shu-Ying Li	true	true	true	0	true
cov-gisaid	EPI_ISL_406034	29882	USA/CA1/2020	Human	2020	JAN	23	2020	JAN	27	North America / USA / California / Los Angeles	United States	Northern America	Americas	Original	normal	-	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong	true	true	false	0	-
cov-gisaid	EPI_ISL_406036	29883	USA/CA2/2020	Human	2020	JAN	22	2020	JAN	27	North America / USA / California / Orange County	United States	Northern America	Americas	Original	normal	-	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong	true	true	false	0	-
cov-gisaid	EPI_ISL_406223	29882	USA/AZ1/2020	Human	2020	JAN	22	2020	JAN	28	North America / USA / Arizona / Phoenix	United States	Northern America	Americas	Original	normal	-	Arizona Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Yan Li, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong	true	true	false	0	-
cov-gisaid	EPI_ISL_406531	29808	Guangdong/20SF174/2020	Human	2020	JAN	22	2020	JAN	29	Asia / China / Guangdong / Zhuhai	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Contorl and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Disease Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_406533	29839	Guangzhou/20SF206/2020	Human	2020	JAN	22	2020	JAN	29	Asia / China / Guangdong / Guangzhou	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Contorl and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_406534	29839	Foshan/20SF207/2020	Human	2020	JAN	22	2020	JAN	29	Asia / China / Guangdong / Foshan	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_406535	29839	Foshan/20SF210/2020	Human	2020	JAN	22	2020	JAN	29	Asia / China / Guangdong / Foshan	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_406536	29803	Foshan/20SF211/2020	Human	2020	JAN	22	2020	JAN	29	Asia / China / Guangdong / Foshan	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
cov-gisaid	EPI_ISL_406538	29839	Guangdong/20SF201/2020	Human	2020	JAN	23	2020	JAN	29	Asia / China / Guangdong	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
